time_ms,has_target,X_cam,Y_cam,Z_cam
1784614290924,1,0.670000,-0.020775,0.049259
1784614290959,1,0.672000,-0.023062,0.062791
1784614290990,1,0.673000,-0.022539,0.075730
1784614291025,1,0.676000,-0.026557,0.090094
1784614291059,1,0.679000,-0.026675,0.105145
1784614291093,1,0.683000,-0.026832,0.117101
1784614291126,1,0.688000,-0.027598,0.128807
1784614291159,1,0.694000,-0.027839,0.134538
1784614291194,1,0.699000,-0.030933,0.138408
1784614291227,1,0.707000,-0.030116,0.142339
1784614291261,1,0.715000,-0.028681,0.140983
1784614291293,1,0.725000,-0.030283,0.138141
1784614291327,1,0.730000,-0.029283,0.129400
1784614291361,1,0.741000,-0.027271,0.121510
1784614291394,1,0.750000,-0.026360,0.111782
1784614291428,1,0.759000,-0.024791,0.101155
1784614291462,1,0.769000,-0.021935,0.090362
1784614291498,1,0.781000,-0.019691,0.080105
1784614291531,1,0.793000,-0.008177,0.069490
1784614291564,1,0.919000,0.039214,-0.197090
1784614291596,1,0.814000,0.016540,0.055792
1784614291630,1,0.825000,0.018129,0.048330
1784614291664,1,0.838000,0.012171,0.047005
1784614291698,1,0.846000,0.002482,0.051667
1784614291730,1,0.852000,-0.008785,0.056276
1784614291764,1,0.856000,-0.023708,0.057250
1784614291798,1,0.865000,-0.037563,0.054263
1784614291833,1,0.872000,-0.047251,0.048189
1784614291865,1,0.880000,-0.049142,0.041327
1784614291898,1,0.890000,-0.046016,0.035149
1784614291932,1,0.895000,-0.041088,0.025691
1784614291966,1,0.907000,-0.031127,0.020013
1784614291999,1,0.910000,-0.020683,0.012527
1784614292034,1,0.916000,-0.013237,0.009569
1784614292068,1,0.921000,-0.011022,0.005799
1784614292101,1,0.924000,-0.011822,0.003518
1784614292135,1,0.927000,-0.013396,0.001991
1784614292169,1,0.929000,-0.014963,0.000453
1784614292202,1,0.933000,-0.018889,-0.001868
1784614292234,1,0.935000,-0.018930,-0.001872
1784614292269,1,0.936000,-0.018950,-0.000321
1784614292302,1,0.934000,-0.019683,-0.001095
1784614292336,1,0.935000,-0.018930,0.001232
1784614292369,1,0.934000,-0.018909,0.002781
1784614292403,1,0.930000,-0.018828,0.004312
1784614292437,1,0.926000,-0.018747,0.004294
1784614292471,1,0.913000,-0.019996,0.004234
1784614292503,1,0.908000,-0.019135,0.006471
1784614292537,1,0.900000,-0.018221,0.007161
1784614292570,1,0.888000,-0.018713,0.009276
1784614292606,1,0.874000,-0.016971,0.009130
1784614292639,1,0.862000,-0.016738,0.010436
1784614292673,1,0.846000,-0.012926,0.012348
1784614292706,1,0.826000,-0.011936,0.010000
1784614292740,1,0.816000,-0.009765,0.011910
1784614292772,1,0.799000,-0.006254,0.009673
1784614292806,1,0.787000,-0.005509,0.010181
1784614292841,1,0.773000,-0.004771,0.009358
1784614292874,1,0.761000,-0.002177,0.009213
1784614292908,1,0.749000,-0.002763,0.009689
1784614292941,1,0.740000,-0.000892,0.010187
1784614292974,1,0.731000,-0.001486,0.009456
1784614293007,1,0.723000,-0.002068,0.009953
1784614293041,1,0.714000,-0.003816,0.009236
1784614293074,1,0.709000,-0.004376,0.009760
1784614293108,1,0.703000,-0.004921,0.011428
1784614293143,1,0.699000,-0.006050,0.011363
1784614293175,1,0.694000,-0.006582,0.013010
1784614293210,1,0.690000,-0.005401,0.014080
1784614293244,1,0.687000,-0.003672,0.015729
1784614293276,1,0.684000,-0.001391,0.016796
1784614293309,1,0.685000,0.000309,0.020800
1784614293344,1,0.681000,0.001434,0.021809
1784614293377,1,0.682000,0.003130,0.023539
1784614293411,1,0.681000,0.006508,0.024635
1784614293444,1,0.680000,0.008187,0.026291
1784614293478,1,0.683000,0.011051,0.029242
1784614293512,1,0.683000,0.012747,0.032076
1784614293545,1,0.685000,0.012784,0.033307
1784614293578,1,0.685000,0.010516,0.033307
1784614293612,1,0.686000,0.007124,0.032217
1784614293646,1,0.691000,0.002600,0.032451
1784614293679,1,0.692000,-0.002553,0.026181
1784614293713,1,0.693000,-0.006572,0.021043
1784614293747,1,0.692000,-0.005417,0.017566
1784614293779,1,0.691000,-0.000833,0.017541
1784614293814,1,0.689000,0.004303,0.016918
1784614293848,1,0.687000,0.007703,0.012308
1784614293881,1,0.682000,0.011599,0.007125
1784614293915,1,0.682000,0.018939,0.005426
1784614293949,1,0.677000,0.024965,0.005949
1784614293981,1,0.675000,0.029920,0.008732
1784614294015,1,0.667000,0.036744,0.010289
1784614294048,1,0.666000,0.040548,0.011932
